Rainfall - (MM), Year, Statistics, Country, ISO3
0.04394, 1997, Jan Average, Senegal, SEN
0, 1997, Feb Average, Senegal, SEN
0.01071, 1997, Mar Average, Senegal, SEN
0.45204, 1997, Apr Average, Senegal, SEN
31.5741, 1997, May Average, Senegal, SEN
100.632, 1997, Jun Average, Senegal, SEN
83.0063, 1997, Jul Average, Senegal, SEN
218.541, 1997, Aug Average, Senegal, SEN
171.244, 1997, Sep Average, Senegal, SEN
39.3807, 1997, Oct Average, Senegal, SEN
0.57703, 1997, Nov Average, Senegal, SEN
6.0E-5, 1997, Dec Average, Senegal, SEN
0, 1998, Jan Average, Senegal, SEN
0.03452, 1998, Feb Average, Senegal, SEN
0, 1998, Mar Average, Senegal, SEN
0.21797, 1998, Apr Average, Senegal, SEN
4.97435, 1998, May Average, Senegal, SEN
38.08, 1998, Jun Average, Senegal, SEN
119.393, 1998, Jul Average, Senegal, SEN
229.651, 1998, Aug Average, Senegal, SEN
243.206, 1998, Sep Average, Senegal, SEN
22.7466, 1998, Oct Average, Senegal, SEN
0, 1998, Nov Average, Senegal, SEN
0.04627, 1998, Dec Average, Senegal, SEN
0.0224, 1999, Jan Average, Senegal, SEN
0.03189, 1999, Feb Average, Senegal, SEN
0.00207, 1999, Mar Average, Senegal, SEN
1.10908, 1999, Apr Average, Senegal, SEN
12.8599, 1999, May Average, Senegal, SEN
53.9629, 1999, Jun Average, Senegal, SEN
159.35, 1999, Jul Average, Senegal, SEN
311.47, 1999, Aug Average, Senegal, SEN
197.299, 1999, Sep Average, Senegal, SEN
132.548, 1999, Oct Average, Senegal, SEN
1.5323, 1999, Nov Average, Senegal, SEN
0.10974, 1999, Dec Average, Senegal, SEN
0.18621, 2000, Jan Average, Senegal, SEN
0.00727, 2000, Feb Average, Senegal, SEN
0.04524, 2000, Mar Average, Senegal, SEN
0.31128, 2000, Apr Average, Senegal, SEN
2.20104, 2000, May Average, Senegal, SEN
62.556, 2000, Jun Average, Senegal, SEN
189.829, 2000, Jul Average, Senegal, SEN
216.906, 2000, Aug Average, Senegal, SEN
148.073, 2000, Sep Average, Senegal, SEN
102.552, 2000, Oct Average, Senegal, SEN
3.85705, 2000, Nov Average, Senegal, SEN
0, 2000, Dec Average, Senegal, SEN
0, 2001, Jan Average, Senegal, SEN
0, 2001, Feb Average, Senegal, SEN
0, 2001, Mar Average, Senegal, SEN
0.22244, 2001, Apr Average, Senegal, SEN
2.6458, 2001, May Average, Senegal, SEN
104.418, 2001, Jun Average, Senegal, SEN
159.178, 2001, Jul Average, Senegal, SEN
152.265, 2001, Aug Average, Senegal, SEN
167.129, 2001, Sep Average, Senegal, SEN
30.5995, 2001, Oct Average, Senegal, SEN
13.1797, 2001, Nov Average, Senegal, SEN
0, 2001, Dec Average, Senegal, SEN
0.22028, 2002, Jan Average, Senegal, SEN
1.0E-5, 2002, Feb Average, Senegal, SEN
0.01971, 2002, Mar Average, Senegal, SEN
0.65533, 2002, Apr Average, Senegal, SEN
7.27892, 2002, May Average, Senegal, SEN
54.4361, 2002, Jun Average, Senegal, SEN
61.8424, 2002, Jul Average, Senegal, SEN
159.834, 2002, Aug Average, Senegal, SEN
127.958, 2002, Sep Average, Senegal, SEN
73.3797, 2002, Oct Average, Senegal, SEN
0, 2002, Nov Average, Senegal, SEN
0.18625, 2002, Dec Average, Senegal, SEN
0, 2003, Jan Average, Senegal, SEN
0.53098, 2003, Feb Average, Senegal, SEN
0, 2003, Mar Average, Senegal, SEN
1.23027, 2003, Apr Average, Senegal, SEN
0.98661, 2003, May Average, Senegal, SEN
82.0685, 2003, Jun Average, Senegal, SEN
164.91, 2003, Jul Average, Senegal, SEN
280.298, 2003, Aug Average, Senegal, SEN
228.855, 2003, Sep Average, Senegal, SEN
81.0884, 2003, Oct Average, Senegal, SEN
3.00939, 2003, Nov Average, Senegal, SEN
0, 2003, Dec Average, Senegal, SEN
0.8578, 2004, Jan Average, Senegal, SEN
1.83649, 2004, Feb Average, Senegal, SEN
9.0E-5, 2004, Mar Average, Senegal, SEN
0.3253, 2004, Apr Average, Senegal, SEN
16.5653, 2004, May Average, Senegal, SEN
89.7428, 2004, Jun Average, Senegal, SEN
182.715, 2004, Jul Average, Senegal, SEN
205.168, 2004, Aug Average, Senegal, SEN
150.342, 2004, Sep Average, Senegal, SEN
9.57717, 2004, Oct Average, Senegal, SEN
3.20161, 2004, Nov Average, Senegal, SEN
0, 2004, Dec Average, Senegal, SEN
0, 2005, Jan Average, Senegal, SEN
1.44971, 2005, Feb Average, Senegal, SEN
0.48303, 2005, Mar Average, Senegal, SEN
0.03931, 2005, Apr Average, Senegal, SEN
26.6739, 2005, May Average, Senegal, SEN
99.4434, 2005, Jun Average, Senegal, SEN
231.502, 2005, Jul Average, Senegal, SEN
251.926, 2005, Aug Average, Senegal, SEN
217.738, 2005, Sep Average, Senegal, SEN
53.635, 2005, Oct Average, Senegal, SEN
0.31021, 2005, Nov Average, Senegal, SEN
0, 2005, Dec Average, Senegal, SEN
0.00044, 2006, Jan Average, Senegal, SEN
0.14448, 2006, Feb Average, Senegal, SEN
0, 2006, Mar Average, Senegal, SEN
0.00231, 2006, Apr Average, Senegal, SEN
6.73041, 2006, May Average, Senegal, SEN
94.4122, 2006, Jun Average, Senegal, SEN
102.217, 2006, Jul Average, Senegal, SEN
249.964, 2006, Aug Average, Senegal, SEN
180.573, 2006, Sep Average, Senegal, SEN
52.1983, 2006, Oct Average, Senegal, SEN
0, 2006, Nov Average, Senegal, SEN
0, 2006, Dec Average, Senegal, SEN
0.00023, 2007, Jan Average, Senegal, SEN
1.0E-5, 2007, Feb Average, Senegal, SEN
0.00352, 2007, Mar Average, Senegal, SEN
0, 2007, Apr Average, Senegal, SEN
6.55412, 2007, May Average, Senegal, SEN
34.3286, 2007, Jun Average, Senegal, SEN
149.629, 2007, Jul Average, Senegal, SEN
234.528, 2007, Aug Average, Senegal, SEN
184.418, 2007, Sep Average, Senegal, SEN
35.7443, 2007, Oct Average, Senegal, SEN
5.18871, 2007, Nov Average, Senegal, SEN
0, 2007, Dec Average, Senegal, SEN
0, 2008, Jan Average, Senegal, SEN
2.47635, 2008, Feb Average, Senegal, SEN
0.00501, 2008, Mar Average, Senegal, SEN
0.07926, 2008, Apr Average, Senegal, SEN
18.6689, 2008, May Average, Senegal, SEN
110.032, 2008, Jun Average, Senegal, SEN
189.245, 2008, Jul Average, Senegal, SEN
259.965, 2008, Aug Average, Senegal, SEN
178.026, 2008, Sep Average, Senegal, SEN
64.8147, 2008, Oct Average, Senegal, SEN
0, 2008, Nov Average, Senegal, SEN
0.0035, 2008, Dec Average, Senegal, SEN
0, 2009, Jan Average, Senegal, SEN
3.0E-5, 2009, Feb Average, Senegal, SEN
0.14563, 2009, Mar Average, Senegal, SEN
0.00568, 2009, Apr Average, Senegal, SEN
13.169, 2009, May Average, Senegal, SEN
67.8962, 2009, Jun Average, Senegal, SEN
179.396, 2009, Jul Average, Senegal, SEN
296.699, 2009, Aug Average, Senegal, SEN
212.626, 2009, Sep Average, Senegal, SEN
33.0147, 2009, Oct Average, Senegal, SEN
0.54743, 2009, Nov Average, Senegal, SEN
0.03281, 2009, Dec Average, Senegal, SEN
0, 2010, Jan Average, Senegal, SEN
1.0E-5, 2010, Feb Average, Senegal, SEN
0.00127, 2010, Mar Average, Senegal, SEN
2.42528, 2010, Apr Average, Senegal, SEN
12.5244, 2010, May Average, Senegal, SEN
86.7781, 2010, Jun Average, Senegal, SEN
205.501, 2010, Jul Average, Senegal, SEN
255.38, 2010, Aug Average, Senegal, SEN
298.288, 2010, Sep Average, Senegal, SEN
58.2705, 2010, Oct Average, Senegal, SEN
1.69745, 2010, Nov Average, Senegal, SEN
0, 2010, Dec Average, Senegal, SEN
2.0E-5, 2011, Jan Average, Senegal, SEN
0.01284, 2011, Feb Average, Senegal, SEN
0.03607, 2011, Mar Average, Senegal, SEN
0.04022, 2011, Apr Average, Senegal, SEN
9.24807, 2011, May Average, Senegal, SEN
57.4856, 2011, Jun Average, Senegal, SEN
122.016, 2011, Jul Average, Senegal, SEN
279.386, 2011, Aug Average, Senegal, SEN
154.564, 2011, Sep Average, Senegal, SEN
35.2374, 2011, Oct Average, Senegal, SEN
0.00717, 2011, Nov Average, Senegal, SEN
0.00517, 2011, Dec Average, Senegal, SEN
0, 2012, Jan Average, Senegal, SEN
0, 2012, Feb Average, Senegal, SEN
0, 2012, Mar Average, Senegal, SEN
1.80271, 2012, Apr Average, Senegal, SEN
28.4425, 2012, May Average, Senegal, SEN
76.1576, 2012, Jun Average, Senegal, SEN
159.051, 2012, Jul Average, Senegal, SEN
259.07, 2012, Aug Average, Senegal, SEN
241.516, 2012, Sep Average, Senegal, SEN
69.2795, 2012, Oct Average, Senegal, SEN
0.00018, 2012, Nov Average, Senegal, SEN
0.23118, 2012, Dec Average, Senegal, SEN
0.00098, 2013, Jan Average, Senegal, SEN
0.00911, 2013, Feb Average, Senegal, SEN
0, 2013, Mar Average, Senegal, SEN
0.76468, 2013, Apr Average, Senegal, SEN
9.7784, 2013, May Average, Senegal, SEN
53.9232, 2013, Jun Average, Senegal, SEN
126.276, 2013, Jul Average, Senegal, SEN
267.197, 2013, Aug Average, Senegal, SEN
243.992, 2013, Sep Average, Senegal, SEN
60.2454, 2013, Oct Average, Senegal, SEN
3.06806, 2013, Nov Average, Senegal, SEN
0.20958, 2013, Dec Average, Senegal, SEN
0.13024, 2014, Jan Average, Senegal, SEN
0.47779, 2014, Feb Average, Senegal, SEN
0, 2014, Mar Average, Senegal, SEN
0.00258, 2014, Apr Average, Senegal, SEN
44.6933, 2014, May Average, Senegal, SEN
35.8572, 2014, Jun Average, Senegal, SEN
112.496, 2014, Jul Average, Senegal, SEN
221.504, 2014, Aug Average, Senegal, SEN
156.007, 2014, Sep Average, Senegal, SEN
78.4179, 2014, Oct Average, Senegal, SEN
0.51455, 2014, Nov Average, Senegal, SEN
0.00232, 2014, Dec Average, Senegal, SEN
0, 2015, Jan Average, Senegal, SEN
0.58721, 2015, Feb Average, Senegal, SEN
0.40173, 2015, Mar Average, Senegal, SEN
0.62338, 2015, Apr Average, Senegal, SEN
3.18154, 2015, May Average, Senegal, SEN
30.0939, 2015, Jun Average, Senegal, SEN
119.075, 2015, Jul Average, Senegal, SEN
336.855, 2015, Aug Average, Senegal, SEN
131.238, 2015, Sep Average, Senegal, SEN
94.1289, 2015, Oct Average, Senegal, SEN
0.37635, 2015, Nov Average, Senegal, SEN
0.12965, 2015, Dec Average, Senegal, SEN
0.00043, 2016, Jan Average, Senegal, SEN
0.89313, 2016, Feb Average, Senegal, SEN
6.0E-5, 2016, Mar Average, Senegal, SEN
0.73903, 2016, Apr Average, Senegal, SEN
9.04954, 2016, May Average, Senegal, SEN
42.8988, 2016, Jun Average, Senegal, SEN
223.082, 2016, Jul Average, Senegal, SEN
206.098, 2016, Aug Average, Senegal, SEN
235.229, 2016, Sep Average, Senegal, SEN
17.7401, 2016, Oct Average, Senegal, SEN
0.62381, 2016, Nov Average, Senegal, SEN
0.0014, 2016, Dec Average, Senegal, SEN
