Date-Monthly,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Zguinchor, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Thies, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Thies, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Tambacounda, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Tambacounda, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, SaintLouis, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, SaintLouis, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Matam, Sorghum, CFA Franc BCEAO-real/kg" Commodity Code: 1007 ,"Senegal, Retail, Matam, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 
Sep-08,439.00,258.00,400.00,237.00,411.00,225.00,450.00,266.00,233.00,429.00,421.18,247.53,383.77,227.38,394.32,215.87,431.74,255.21,223.54,411.59
Aug-08,393.00,264.00,349.00,221.00,344.00,209.00,344.00,263.00,226.00,356.00,378.95,254.56,336.52,213.10,331.70,201.53,331.70,253.60,217.92,343.27
Jul-08,370.00,260.00,351.00,231.00,329.00,222.00,311.00,242.00,220.00,346.00,361.50,254.03,342.94,225.70,321.45,216.90,303.86,236.44,214.95,338.05
Jun-08,326.00,238.00,287.00,216.00,345.00,198.00,294.00,224.00,214.00,321.00,321.12,234.44,282.71,212.77,339.84,195.04,289.60,220.65,210.80,316.20
May-08,290.00,226.00,275.00,218.00,311.00,208.00,288.00,200.00,214.00,310.00,293.79,228.96,278.60,220.85,315.07,210.72,291.77,202.62,216.80,314.05
Apr-08,294.00,221.00,284.00,212.00,350.00,203.00,310.00,200.00,217.00,307.00,297.53,223.65,287.41,214.55,354.20,205.44,313.72,202.40,219.61,310.69
Mar-08,300.00,219.00,230.00,200.00,314.00,184.00,283.00,200.00,214.00,305.00,304.64,222.39,233.56,203.09,318.86,186.85,287.38,203.09,217.31,309.72
Feb-08,278.00,200.00,239.00,195.00,284.00,181.00,255.00,208.00,214.00,296.00,283.42,203.90,243.66,198.80,289.53,184.53,259.97,212.05,218.17,301.77
Jan-08,276.00,207.00,230.00,194.00,275.00,169.00,258.00,220.00,212.00,270.00,285.57,214.18,237.98,200.73,284.54,174.86,266.95,227.63,219.35,279.37
Dec-07,253.00,233.00,229.00,193.00,250.00,151.00,247.00,210.00,225.00,265.00,258.34,237.92,233.84,197.08,255.28,154.19,252.22,214.44,229.75,270.60
Nov-07,251.00,208.00,228.00,192.00,256.00,184.00,236.00,200.00,207.00,243.00,254.06,210.53,230.78,194.34,259.12,186.24,238.87,202.44,209.52,245.96
Oct-07,253.00,231.00,224.00,200.00,247.00,161.00,222.00,205.00,214.00,233.00,258.14,235.69,228.55,204.06,252.02,164.27,226.51,209.16,218.35,237.73
Sep-07,246.00,234.00,223.00,198.00,242.00,187.00,222.00,235.00,233.00,235.00,252.62,240.29,229.00,203.33,248.51,192.03,227.97,241.32,239.27,241.32
Aug-07,244.00,218.00,222.00,178.00,235.00,199.00,227.00,230.00,241.00,228.00,253.84,226.79,230.96,185.18,244.48,207.03,236.16,239.28,250.72,237.20
Jul-07,254.00,199.00,221.00,174.00,246.00,178.00,273.00,198.00,192.00,251.00,264.68,207.37,230.29,181.32,256.34,185.48,284.48,206.33,200.07,261.55
Jun-07,266.00,193.00,224.00,169.00,251.00,160.00,251.00,194.00,190.00,245.00,282.98,205.32,238.30,179.79,267.03,170.22,267.03,206.39,202.13,260.64
May-07,261.00,182.00,224.00,158.00,246.00,166.00,251.00,182.00,193.00,252.00,279.30,194.76,239.71,169.08,263.25,177.64,268.60,194.76,206.53,269.67
Apr-07,257.00,177.00,224.00,156.00,238.00,146.00,248.00,182.00,189.00,252.00,272.50,187.67,237.51,165.41,252.35,154.80,262.95,192.97,200.40,267.20
Mar-07,254.00,174.00,224.00,151.00,250.00,150.00,225.00,170.00,184.00,238.00,268.20,183.73,236.52,159.44,263.97,158.38,237.58,179.50,194.28,251.30
Feb-07,242.00,175.00,221.00,147.00,225.00,141.00,220.00,175.00,181.00,228.00,258.97,187.27,236.50,157.31,240.78,150.89,235.43,187.27,193.69,243.99
Jan-07,240.00,173.00,214.00,149.00,225.00,150.00,213.00,163.00,170.00,225.00,259.67,187.18,231.54,161.21,243.44,162.29,230.46,176.36,183.93,243.44
