KEY,ID_menage,riz_irrig_csc2,riz_irrig_hiv2,crops_cult1 irrigated rice,season_cult1,Area planted (ha) irrigated rice,Quantity produced (Kg) irrigated rice,Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:4015788a-b9c1-4a9d-942b-c5797bc003e1,4.02E+39,1,0,CSC Irrigated Rice,2,5,19520,3.904,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39823333,-16.076235
uuid:a5d086a2-8aa5-42c8-ad19-427fc72da179,1.54E+39,1,0,CSC Irrigated Rice,2,1,2250,2.25,MATAM,BOKIDIAWE,DONDOU,16.01849833,-13.38677333
uuid:23db5e78-b448-4806-bf18-6a1bc7afed3b,2.34E+39,1,0,CSC Irrigated Rice,2,1,400,0.4,MATAM,BOKIDIAWE,DONDOU,15.60646167,-13.324785
uuid:2484464f-665a-49a4-a9c5-ef457b771e77,2.48E+39,1,0,CSC Irrigated Rice,2,0.5,2650,5.3,PODOR,NDIAYENE PENDAO,H8 MBANTHIE,16.59946333,-14.97002
uuid:ce46d616-c710-49ed-90d2-1aa53439be24,3.55E+39,1,0,CSC Irrigated Rice,2,0.5,4800,9.6,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50278333,-15.05608333
uuid:c61157cb-3a4a-4cba-8057-4b943f5d31dc,3.61E+39,1,0,CSC Irrigated Rice,2,2,7020,3.51,DAGANA,RONKH,KHEUNE,16.52339833,-16.10646667
uuid:39db0262-2fa9-4342-8ca7-b3564fe9bf07,3.94E+39,1,0,CSC Irrigated Rice,2,0.5,3078,6.156,PODOR,NDIAYENE PENDAO,H8 MBANTHIE,16.599915,-14.97029833
uuid:c9dff857-c3c6-4163-85fd-c9ce73d739d2,3.95E+39,1,0,CSC Irrigated Rice,2,0.8000000119,3900,4.874999927,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50310333,-15.04723333
uuid:426b0045-2f14-4306-944e-621c799b8fb7,4.26E+39,1,0,CSC Irrigated Rice,2,2,2000,1,MATAM,BOKIDIAWE,DONDOU,15.60621333,-13.32503
uuid:8da4e51e-ffb1-442c-aa5f-364ee60c1812,8.41E+39,1,0,CSC Irrigated Rice,2,1,2100,2.1,MATAM,BOKIDIAWE,DONDOU,15.60781167,-13.32363333
uuid:206cfe18-3dc3-498e-a0b2-2f560c3e7696,2.06E+39,1,0,CSC Irrigated Rice,2,0.400000006,2430,6.074999909,PODOR,BOKE DIALLOUBE,WALLAH,16.52362667,-14.85221333
uuid:20911ea8-cf85-4d68-b0df-f73c5cb93a4e,2.09E+39,1,0,CSC Irrigated Rice,2,3,10400,3.466666667,DAGANA,RONKH,"NDIAEL I, NDIAEL II, NDIAEL III",16.35863167,-15.97864667
uuid:d1d0a0a4-89ab-40e5-9e79-2e97d9dad3e1,4.14E+39,1,0,CSC Irrigated Rice,2,0.3000000119,2465,8.21666634,DAGANA,DIAMA,BIFFECHE,16.17077167,-16.308515
uuid:d4fd691e-320e-46f9-9a52-185a3f6e679c,4.46E+39,1,0,CSC Irrigated Rice,2,1,6500,6.5,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.504675,-15.04725667
uuid:5efb51f4-15a7-425e-9f9c-410ba6d2d7ae,5.56E+39,1,0,CSC Irrigated Rice,2,1.720000029,10160,5.906976646,DAGANA,DIAMA,BIFFECHE,16.17107333,-16.30659
uuid:e6ee83de-08c6-4136-a6a6-148720650384,5.66E+39,1,0,CSC Irrigated Rice,2,1,3375,3.375,PODOR,NDIAYENE PENDAO,H8 MBANTHIE,16.59948833,-14.96965167
uuid:f9c5aa77-0a17-45c1-aa2c-b80b5331b337,6.94E+39,1,0,CSC Irrigated Rice,2,30,182400,6.08,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39842333,-16.074365
uuid:0071e192-605b-458e-aaae-92e0ab12b5a3,7.15E+37,1,0,CSC Irrigated Rice,2,3,24800,8.266666667,DAGANA,RONKH,KHEUNE,16.52316333,-16.10718667
uuid:1c7e4ff7-988d-4b6e-b274-50d18feb6385,1.38E+39,1,0,CSC Irrigated Rice,2,1,1500,1.5,MATAM,BOKIDIAWE,DONDOU,15.60653833,-13.32510833
uuid:a8b2bb52-45cc-4deb-85e4-a94f8afd1d1e,1.82E+39,1,0,CSC Irrigated Rice,2,1.299999952,11900,9.15384649,DAGANA,RONKH,KHEUNE,16.52219667,-16.10803
uuid:20911ea8-cf85-4d68-b0df-f73c5cb93a4e,2.09E+39,1,0,CSC Irrigated Rice,2,0.8000000119,6400,7.999999881,DAGANA,RONKH,"NDIAEL I, NDIAEL II, NDIAEL III",16.35863167,-15.97864667
uuid:2febead3-3fa7-4bc2-80bb-93648acd5216,2.65E+39,1,0,CSC Irrigated Rice,2,1,2000,2,MATAM,BOKIDIAWE,DONDOU,15.60651167,-13.32509833
uuid:3b7d1403-013b-4fa0-bec3-27e8e8e5dfda,3.27E+39,1,0,CSC Irrigated Rice,2,2.5,3500,1.4,MATAM,BOKIDIAWE,DONDOU,,
uuid:3e651691-22d8-4a3b-a22f-acb14948dc49,3.57E+39,1,0,CSC Irrigated Rice,2,2,2000,1,MATAM,BOKIDIAWE,DONDOU,15.60724833,-13.32369
uuid:e784fac7-e07a-4f29-9f40-0b9b7d1b074e,5.78E+39,1,0,CSC Irrigated Rice,1,1,1400,1.4,MATAM,BOKIDIAWE,BOKIDIAWE SARAKHOLE,,
uuid:b2db5d38-9240-48c1-8035-259d442669c0,2.24E+39,1,0,CSC Irrigated Rice,2,3.460000038,14940,4.317919028,DAGANA,RONKH,KHEUNE,16.522475,-16.10876
uuid:0be59f89-7e8c-4f90-86bc-beaf7d86f21c,2.56E+38,1,0,CSC Irrigated Rice,2,0.5699999928,3500,6.140350954,PODOR,NDIAYENE PENDAO,NDIAYENNE PENDAO,16.50343167,-15.04715
uuid:4015788a-b9c1-4a9d-942b-c5797bc003e1,4.02E+39,1,0,CSC Irrigated Rice,2,3,7040,2.346666667,DAGANA,DIAMA,MBOUNDOUME BARRAGE,16.39823333,-16.076235
uuid:d4ca4414-b904-4437-a5c3-117b11f75e88,4.43E+39,1,0,CSC Irrigated Rice,2,1.100000024,5270,4.790908987,DAGANA,RONKH,KHEUNE,16.52243,-16.10863
