KEY,ID_menage,crops_cult5,season_cult5,Area_cult5 (ha),QuantityProduced_cult5 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:37dd081a-4915-4e44-987d-f637fb52a85c,3.74E+39,Corn,1,1,200,0.2,BOUNKILING,FAOUNE,Touba Mouride,,
uuid:c7f91540-f364-48e6-9dc8-649d9580fb2a,3.77E+39,Corn,1,0,200,,MALEM HODDAR,SAGNA,Maka Bella,14.10919,-15.235515
uuid:38a9fe48-203e-4d0c-90fa-5a02c2ae5e12,3.82E+39,Corn,1,1.5,1000,0.6666666667,KOLDA,TANKANTO ESCALE,OUMOUL KOURE (BOKH MAOUNDE),12.80387333,-15.06439333
uuid:d0310f3a-c7ba-413f-8961-5cbde117beab,4.03E+39,Corn,1,0.5,550,1.1,VELINGARA,PAROUMBA,DAHARATOU,12.789155,-13.878585
uuid:da2dc827-9243-43ec-93ae-851bd7c6984c,4.12E+39,Corn,1,0,200,,KAOLACK,LATMINGUE,H1 KEUR NGOLLO,14.035215,-15.98789333
uuid:dac44d4c-3edf-49f8-b706-ea1a907d3bf9,4.13E+39,Corn,1,2,800,0.4,KAOLACK,NDIAFFATE,KOUTAL OUOLOF,14.08907833,-16.06868167
uuid:415ec281-407c-426e-8aac-9c5dd8c1ba62,4.16E+39,Corn,1,0.5,300,0.6,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:4c0a8e26-6c88-4600-b79b-6475ad633012,4.30E+39,Corn,1,0.25,250,1,KOLDA,THIETTY,SARE KOUBE FATAWORO(SINTHIANG KOUBE),13.025065,-15.11169333
uuid:4ca71a53-98a4-47e0-ac38-728ad4243840,4.32E+39,Corn,1,0.5,150,0.3,BOUNKILING,FAOUNE,Touba Mouride,13.065995,-15.62427833
uuid:43d3f592-5a41-40e9-87b6-8bf9ae251e4a,4.34E+39,Corn,1,1,1000,1,GOUDOMP,YARANG BALANTE,SINA,12.54130667,-15.60476833
uuid:45a88965-d2df-49a3-9af9-bf82a27ec967,4.52E+39,Corn,1,1,1200,1.2,KAFFRINE,KATHIOTE,Ngettou Malick/WALALANE,14.02155167,-15.480125
uuid:46884f9b-0faf-48dd-981f-9f3f6aee621e,4.69E+39,Corn,1,1,210,0.21,MEDINA YORO FOULAH,DINGUIRAYE,SINTHIANG BABOU DEME ( TAW KALTOU),13.190735,-14.55772667
uuid:d9ffd275-f35b-43de-bf77-15e8d9321f5e,4.97E+39,Corn,1,0.7,500,0.7142857143,NIORO,DAROU SALAM,YALLE KEUR EL HADJI MALICK,13.869355,-15.82756833
uuid:e01a3d87-ef21-463d-82ef-bc19d34b1af5,5.01E+39,Corn,1,0.1,200,2,BOUNKILING,FAOUNE,Touba Mouride,13.06566333,-15.62428333
uuid:eaa2a800-f5d8-48b6-bfd2-2433f2a2f684,5.11E+39,Corn,1,1,70,0.07,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.991635,-13.66777833
uuid:5155c59c-4531-490b-aa0f-28d511c38f70,5.16E+39,Corn,1,1,75,0.075,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:eb1e1395-a058-4ea5-b342-c73538edadd1,5.22E+39,Corn,1,1,1200,1.2,MEDINA YORO FOULAH,BADION,SARE YORO BAMBI,13.06261,-14.401785
uuid:52a8fc1e-824f-4978-b21d-9283121d204c,5.22E+39,Corn,1,0.5,200,0.4,BIRKELANE,DIAMAL,NDANGANE,14.1271573,-15.7526975
uuid:5bb05dcd-2603-4b63-96cf-a14b6897081e,5.22E+39,Corn,1,0.5,100,0.2,KAOLACK,THIARE,PACATHIAR KHAYES,13.93079833,-15.77208333
uuid:52bbb739-1e7c-42ad-926f-21fb9a806d7c,5.22E+39,Corn,1,1,800,0.8,MEDINA YORO FOULAH,FAFACOUROU,PADIALA SINTHIANG,13.13445833,-14.548495
